Indicator,Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Capital Cost|Liquids|Coal|w/ CCSLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Capital Cost|Liquids|Coal|w/ CCS,US$2010/kW,3031.214094,2313.523774,1949.598185,1949.597384,1949.597384,1949.597384,1950.143498,1949.597384,,1949.597384,,1945.091563,,1944.648414,,1944.014135
Capital Cost|Liquids|Coal|w/ CCSNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Capital Cost|Liquids|Coal|w/ CCS,US$2010/kW,3016.676013,2408.890691,2006.316708,2006.232266,2035.985683,2014.13907,2014.158981,2013.715549,,2012.507639,,2006.17842,,1961.905389,,1904.928425
Capital Cost|Liquids|Coal|w/ CCSNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Capital Cost|Liquids|Coal|w/ CCS,US$2010/kW,2924.396076,2313.523774,1949.597384,1949.597384,1949.597384,1949.597384,1949.597384,1949.597384,,1949.597384,,1943.632625,,1943.903723,,1944.221107
Capital Cost|Liquids|Coal|w/o CCSBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Capital Cost|Liquids|Coal|w/o CCS,US$2010/kW,1951.961569,1938.450019,1912.714226,1885.29761,1937.098356,1934.010424,1929.367936,1919.759479,,1848.504532,,1827.678075,,1827.678075,,1827.678075
Capital Cost|Liquids|Coal|w/o CCSCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Capital Cost|Liquids|Coal|w/o CCS,US$2010/kW,1952.208267,1947.711318,1945.248884,1943.976705,1943.588551,1943.834543,1944.716708,1946.051684,,1951.809105,,1959.128372,,1965.818009,,1972.086774
Capital Cost|Liquids|Coal|w/o CCSDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Capital Cost|Liquids|Coal|w/o CCS,US$2010/kW,1952.208267,1947.711318,1945.119181,1944.906786,1944.389074,1881.210063,1879.336996,1876.23425,,1863.900796,,1863.900796,,1863.900796,,1863.900796
Capital Cost|Liquids|Coal|w/o CCSFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Capital Cost|Liquids|Coal|w/o CCS,US$2010/kW,1952.208267,1947.711318,1945.942959,1963.829277,1974.853804,1976.407853,1976.408108,1976.40832,,1976.408507,,1976.408744,,1976.408815,,1976.408852
Capital Cost|Liquids|Coal|w/o CCSLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Capital Cost|Liquids|Coal|w/o CCS,US$2010/kW,1951.806893,1951.147836,1950.495784,1930.591438,1931.62866,1929.306112,1924.462313,1914.468393,,1846.44687,,1775.525807,,1775.525807,,1775.525807
Capital Cost|Liquids|Coal|w/o CCSNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Capital Cost|Liquids|Coal|w/o CCS,US$2010/kW,1951.949,1951.263777,1950.610453,1934.175207,1932.674666,1930.068415,1927.028576,1921.379215,,1866.921934,,1875.154252,,1853.997892,,1851.691665
Capital Cost|Liquids|Coal|w/o CCSNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Capital Cost|Liquids|Coal|w/o CCS,US$2010/kW,1951.964223,1951.534662,1950.886961,1927.121061,1927.535326,1923.868218,1917.026558,1902.834533,,1834.750151,,1775.525807,,1775.525807,,1775.525807
Capital Cost|Liquids|Gas|w/ CCSBelow 2°C,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2°C,World,Capital Cost|Liquids|Gas|w/ CCS,US$2010/kW,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Capital Cost|Liquids|Gas|w/ CCSCurrent Policies,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,Capital Cost|Liquids|Gas|w/ CCS,US$2010/kW,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Capital Cost|Liquids|Gas|w/ CCSDelayed transition,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,Capital Cost|Liquids|Gas|w/ CCS,US$2010/kW,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Capital Cost|Liquids|Gas|w/ CCSFragmented World,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,Capital Cost|Liquids|Gas|w/ CCS,US$2010/kW,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Capital Cost|Liquids|Gas|w/ CCSLow demand,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,Capital Cost|Liquids|Gas|w/ CCS,US$2010/kW,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Capital Cost|Liquids|Gas|w/ CCSNationally Determined Contributions (NDCs),MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Nationally Determined Contributions (NDCs),World,Capital Cost|Liquids|Gas|w/ CCS,US$2010/kW,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Capital Cost|Liquids|Gas|w/ CCSNet Zero 2050,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Net Zero 2050,World,Capital Cost|Liquids|Gas|w/ CCS,US$2010/kW,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Capital Cost|Liquids|Gas|w/o CCSBelow 2°C,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Below 2°C,World,Capital Cost|Liquids|Gas|w/o CCS,US$2010/kW,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Capital Cost|Liquids|Gas|w/o CCSCurrent Policies,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Current Policies,World,Capital Cost|Liquids|Gas|w/o CCS,US$2010/kW,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Capital Cost|Liquids|Gas|w/o CCSDelayed transition,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Delayed transition,World,Capital Cost|Liquids|Gas|w/o CCS,US$2010/kW,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Capital Cost|Liquids|Gas|w/o CCSFragmented World,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Fragmented World,World,Capital Cost|Liquids|Gas|w/o CCS,US$2010/kW,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Capital Cost|Liquids|Gas|w/o CCSLow demand,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Low demand,World,Capital Cost|Liquids|Gas|w/o CCS,US$2010/kW,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Capital Cost|Liquids|Gas|w/o CCSNationally Determined Contributions (NDCs),MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Nationally Determined Contributions (NDCs),World,Capital Cost|Liquids|Gas|w/o CCS,US$2010/kW,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Capital Cost|Liquids|Gas|w/o CCSNet Zero 2050,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,Net Zero 2050,World,Capital Cost|Liquids|Gas|w/o CCS,US$2010/kW,0,0,0,0,0,0,0,0,,0,,0,,0,,0
Capital Cost|Liquids|OilBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Capital Cost|Liquids|Oil,US$2010/kW,448.346138,448.917458,449.487084,450.0155733,450.478349,450.7873234,451.0396967,451.6012147,,452.5464987,,452.7519503,,453.043099,,453.5904725
Capital Cost|Liquids|OilCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Capital Cost|Liquids|Oil,US$2010/kW,448.3731351,448.9370897,449.3672872,449.6223187,449.7268816,449.7751369,449.7739135,450.0823926,,450.523198,,451.054207,,451.7654532,,453.0269199
Capital Cost|Liquids|OilDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Capital Cost|Liquids|Oil,US$2010/kW,448.3731351,448.9370897,449.4796772,450.4924035,450.9657172,451.2457155,451.5926488,452.3197782,,453.2168574,,453.5512378,,453.7183177,,454.052887
Capital Cost|Liquids|OilFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Capital Cost|Liquids|Oil,US$2010/kW,448.3731351,448.9370897,449.4237104,449.8180887,450.1342599,450.2600502,450.2749132,450.4622184,,450.7465717,,451.1172521,,452.5183494,,454.3595435
Capital Cost|Liquids|OilLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Capital Cost|Liquids|Oil,US$2010/kW,448.4287996,448.9686267,449.6528258,450.3000072,450.7047606,450.9625061,451.3016024,451.6522724,,452.023272,,452.2860037,,452.3146289,,452.7535024
Capital Cost|Liquids|OilNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Capital Cost|Liquids|Oil,US$2010/kW,448.4079775,449.052744,449.7974094,450.4031964,450.8629999,451.2195672,451.4901001,452.1127633,,453.2558992,,454.2288089,,455.1677153,,456.0998933
Capital Cost|Liquids|OilNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Capital Cost|Liquids|Oil,US$2010/kW,448.3758074,448.8788086,449.5628903,450.2622422,450.5095092,450.7248012,450.9375718,450.9911213,,451.3913009,,451.9693828,,452.2107593,,452.5756618
Carbon Sequestration|CCSBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Carbon Sequestration|CCS,Mt CO2/yr,57.8081545,157.3975585,373.941484,740.8868423,1267.998696,1864.880637,2455.764782,3237.61094,,3871.369084,,3898.963481,,3649.137312,,3389.568823
Carbon Sequestration|CCSCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Carbon Sequestration|CCS,Mt CO2/yr,56.1369,66.7362196,66.9375543,66.402137,65.0516223,62.3013713,57.4052541,49.4565464,,19.9686534,,0.9696414,,0.8800667,,0.8522401
Carbon Sequestration|CCSDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Carbon Sequestration|CCS,Mt CO2/yr,56.1369,66.7362196,105.1879209,574.5387462,1420.729441,2225.660423,2922.33024,3496.58433,,3734.81764,,3314.127843,,2543.558352,,1786.077491
Carbon Sequestration|CCSFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Carbon Sequestration|CCS,Mt CO2/yr,56.1369,66.7362196,83.7729289,187.3997286,374.9001136,604.8313862,824.8738984,1132.632158,,1524.796881,,1740.660646,,1735.496937,,1524.10539
Carbon Sequestration|CCSLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Carbon Sequestration|CCS,Mt CO2/yr,69.2906271,266.2749096,800.1341881,1579.898689,2364.990479,3019.360652,3509.185107,4101.16318,,4545.483959,,4747.020015,,4893.826849,,4837.187262
Carbon Sequestration|CCSNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Carbon Sequestration|CCS,Mt CO2/yr,70.7659628,269.875501,670.0330337,1096.403454,1394.011215,1634.351644,1843.492241,2116.445498,,2660.969665,,2974.099771,,3062.203923,,2858.719238
Carbon Sequestration|CCSNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Carbon Sequestration|CCS,Mt CO2/yr,70.67395,354.0767531,1306.109895,2620.595968,3767.855792,4594.477364,5035.202925,5413.505034,,5687.579537,,5527.151866,,5269.337834,,4773.239254
Carbon Sequestration|CCS|BiomassBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,35.4351106,111.4477316,279.5107866,532.3697388,834.1133536,1150.564374,1402.142749,1740.419531,,2183.959493,,2269.83319,,2144.19043,,2076.440767
Carbon Sequestration|CCS|BiomassCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,26.5892521,38.2133411,43.6558303,44.6411846,44.213097,42.7444675,40.0686789,36.3110655,,17.1507258,,0.9679558,,0.8795421,,0.8519413
Carbon Sequestration|CCS|BiomassDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,26.5892521,38.2133411,79.8188109,424.3213051,1026.55426,1517.275274,1907.899059,2228.191468,,2530.237932,,2278.050351,,1749.452011,,1306.636552
Carbon Sequestration|CCS|BiomassFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,26.5892521,38.2133411,59.2909303,141.2110732,273.8908597,410.5060857,503.2985344,628.1318048,,885.941334,,1114.567134,,1141.457124,,997.7762865
Carbon Sequestration|CCS|BiomassLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,42.6168512,218.044055,646.7132147,1245.92229,1871.913956,2410.916253,2812.254511,3338.739064,,3695.349089,,3773.407725,,3821.990574,,3716.569792
Carbon Sequestration|CCS|BiomassNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,39.0996516,187.1425383,481.7887613,785.6794957,978.9284958,1099.39,1180.58143,1277.021608,,1292.664331,,1144.487283,,1162.740162,,1192.846539
Carbon Sequestration|CCS|BiomassNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,41.5983865,270.2223539,988.7063536,2003.646199,2918.336949,3606.582532,3917.970672,4270.845031,,4502.894501,,4308.09384,,4109.347031,,3769.170434
Carbon Sequestration|CCS|Biomass|Energy|Demand|IndustryBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry,Mt CO2/yr,1.5982168,1.339689,1.2177064,2.419335,5.6305166,17.2152527,32.3212093,76.8825047,,103.8949164,,88.8066201,,61.8182139,,38.3951272
Carbon Sequestration|CCS|Biomass|Energy|Demand|IndustryCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry,Mt CO2/yr,1.6747578,0.8799968,0.2036964,0.0154775,0,0,0,0,,0,,0,,0,,0
Carbon Sequestration|CCS|Biomass|Energy|Demand|IndustryDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry,Mt CO2/yr,1.6747578,0.8799968,0.1502608,4.4416842,16.9857741,40.0750773,70.9033554,96.4249899,,80.5735209,,40.8795477,,21.4610491,,14.3014608
Carbon Sequestration|CCS|Biomass|Energy|Demand|IndustryFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry,Mt CO2/yr,1.6747578,0.8799968,0.3913059,0.7943987,2.7576958,3.7172881,3.7723792,3.8914661,,19.6021296,,28.6009945,,26.7324789,,23.1456464
Carbon Sequestration|CCS|Biomass|Energy|Demand|IndustryLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry,Mt CO2/yr,1.4243752,2.4891966,13.073597,58.4094321,131.9516012,186.6609191,182.5298336,180.7386746,,130.9878206,,91.5493954,,94.5839516,,81.9382045
Carbon Sequestration|CCS|Biomass|Energy|Demand|IndustryNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry,Mt CO2/yr,1.349063,2.6102255,3.7313726,5.3176592,3.1314221,5.6805304,0.0979789,0.0231678,,10.2526898,,30.6895241,,73.3108836,,73.3926455
Carbon Sequestration|CCS|Biomass|Energy|Demand|IndustryNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry,Mt CO2/yr,1.5769354,5.2585619,16.2939157,97.8211274,167.0070187,201.3977605,154.0886353,134.03533,,79.3858654,,51.2466866,,39.945416,,19.84452
Carbon Sequestration|CCS|Biomass|Energy|SupplyBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Carbon Sequestration|CCS|Biomass|Energy|Supply,Mt CO2/yr,33.8368938,110.1080426,278.2930802,529.9504038,828.482837,1133.349121,1369.821539,1663.537027,,2080.064577,,2181.02657,,2082.372216,,2038.04564
Carbon Sequestration|CCS|Biomass|Energy|SupplyCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Carbon Sequestration|CCS|Biomass|Energy|Supply,Mt CO2/yr,24.9144943,37.3333443,43.4521339,44.6257071,44.213097,42.7444675,40.0686789,36.3110655,,17.1507258,,0.9679558,,0.8795421,,0.8519413
Carbon Sequestration|CCS|Biomass|Energy|SupplyDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Carbon Sequestration|CCS|Biomass|Energy|Supply,Mt CO2/yr,24.9144943,37.3333443,79.6685501,419.8796209,1009.568486,1477.200196,1836.995704,2131.766478,,2449.664412,,2237.170803,,1727.990962,,1292.335091
Carbon Sequestration|CCS|Biomass|Energy|SupplyFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Carbon Sequestration|CCS|Biomass|Energy|Supply,Mt CO2/yr,24.9144943,37.3333443,58.8996244,140.4166745,271.1331639,406.7887976,499.5261552,624.2403387,,866.3392044,,1085.96614,,1114.724645,,974.6306401
Carbon Sequestration|CCS|Biomass|Energy|SupplyLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Carbon Sequestration|CCS|Biomass|Energy|Supply,Mt CO2/yr,41.192476,215.5548584,633.6396177,1187.512858,1739.962355,2224.255334,2629.724677,3158.000389,,3564.361268,,3681.858329,,3727.406623,,3634.631587
Carbon Sequestration|CCS|Biomass|Energy|SupplyNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Carbon Sequestration|CCS|Biomass|Energy|Supply,Mt CO2/yr,37.7505886,184.5323128,478.0573887,780.3618365,975.7970737,1093.709469,1180.483452,1276.99844,,1282.411641,,1113.797759,,1089.429278,,1119.453893
Carbon Sequestration|CCS|Biomass|Energy|SupplyNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Carbon Sequestration|CCS|Biomass|Energy|Supply,Mt CO2/yr,40.0214511,264.963792,972.4124379,1905.825072,2751.32993,3405.184772,3763.882037,4136.809701,,4423.508636,,4256.847153,,4069.401615,,3749.325914
Carbon Sequestration|CCS|Biomass|Energy|Supply|ElectricityBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,Mt CO2/yr,1.7037917,3.1077722,6.219149,12.483035,23.017848,38.4398196,56.600692,84.5172,,137.3025696,,171.8075605,,183.3334554,,186.5889498
Carbon Sequestration|CCS|Biomass|Energy|Supply|ElectricityCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,Mt CO2/yr,1.7063492,1.7236212,1.641509,1.5696859,1.5378482,1.4812098,1.4297469,1.3233668,,0.5111782,,0.0002925,,0.0000889,,0.0000848
Carbon Sequestration|CCS|Biomass|Energy|Supply|ElectricityDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,Mt CO2/yr,1.7063492,1.7236212,10.9169206,45.2663023,71.9719548,89.1154921,108.7054209,130.8420254,,164.2524642,,163.8622842,,142.0108812,,117.3880519
Carbon Sequestration|CCS|Biomass|Energy|Supply|ElectricityFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,Mt CO2/yr,1.7063492,1.7236212,2.5571151,4.9783457,9.0902164,14.7733095,20.7037978,29.480162,,47.2762223,,65.1133322,,73.5085071,,69.6924448
Carbon Sequestration|CCS|Biomass|Energy|Supply|ElectricityLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,Mt CO2/yr,7.991546,44.1700079,91.6506876,125.8190178,147.1992311,172.0921162,198.6840012,237.9514539,,267.6367746,,268.2187614,,273.9794713,,281.9593953
Carbon Sequestration|CCS|Biomass|Energy|Supply|ElectricityNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,Mt CO2/yr,6.9508711,27.6320291,49.0934427,59.909664,66.2925623,71.9183472,77.8058518,85.7288633,,88.6469501,,79.7955453,,84.3206395,,91.5615066
Carbon Sequestration|CCS|Biomass|Energy|Supply|ElectricityNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,Mt CO2/yr,5.6180019,32.2743757,64.8194314,89.0162125,115.4524244,141.3905649,163.3625564,191.7340726,,220.4997378,,219.8670348,,212.4942502,,195.5972731
Carbon Sequestration|CCS|Biomass|Energy|Supply|HydrogenBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen,Mt CO2/yr,29.6335938,94.8288353,231.2269808,418.4222854,608.4537193,754.2902485,802.9531325,808.0449611,,671.8496577,,414.2943822,,196.5546327,,116.2140738
Carbon Sequestration|CCS|Biomass|Energy|Supply|HydrogenCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen,Mt CO2/yr,22.3392968,34.5310975,40.7275228,42.0290204,41.674542,39.8458456,36.1334524,30.0199821,,11.9178514,,0.8337208,,0.8560953,,0.8472407
Carbon Sequestration|CCS|Biomass|Energy|Supply|HydrogenDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen,Mt CO2/yr,22.3392968,34.5310975,56.9608522,270.3160714,662.4997273,931.4651424,1073.258755,1118.513255,,1023.728581,,695.9096985,,264.5316465,,68.1585899
Carbon Sequestration|CCS|Biomass|Energy|Supply|HydrogenFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen,Mt CO2/yr,22.3392968,34.5310975,50.6300707,109.499722,197.6312513,274.1783974,304.7178805,337.2958869,,385.882667,,417.2658167,,357.8473439,,257.2980279
Carbon Sequestration|CCS|Biomass|Energy|Supply|HydrogenLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen,Mt CO2/yr,27.7074918,132.5580539,402.0168435,752.8031291,1055.999271,1243.815973,1318.072741,1357.937196,,1243.595368,,1039.316077,,885.2219204,,801.3269046
Carbon Sequestration|CCS|Biomass|Energy|Supply|HydrogenNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen,Mt CO2/yr,26.4043253,128.5469024,350.5480213,578.2984024,698.5654957,740.6824362,747.4679178,731.4853878,,592.3877483,,342.6013436,,216.6992517,,171.0174119
Carbon Sequestration|CCS|Biomass|Energy|Supply|HydrogenNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen,Mt CO2/yr,27.9275586,175.0809326,680.856322,1333.543028,1865.097466,2218.969767,2325.966206,2372.250091,,2267.339678,,1970.532008,,1856.258125,,1749.446366
Carbon Sequestration|CCS|Biomass|Energy|Supply|LiquidsBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,Mt CO2/yr,2.2262722,11.6179413,40.0850689,98.2509551,196.2270522,339.8565673,509.555894,770.3336762,,1266.797934,,1590.694387,,1697.52411,,1727.670444
Carbon Sequestration|CCS|Biomass|Energy|Supply|LiquidsCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,Mt CO2/yr,0.7174578,0.9300701,0.9423902,0.8927627,0.8689836,0.860444,1.1647283,2.0222127,,1.8764374,,0.0001424,,0.0001038,,0.0002264
Carbon Sequestration|CCS|Biomass|Energy|Supply|LiquidsDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,Mt CO2/yr,0.7174578,0.9300701,8.5956081,81.1282218,233.2848337,416.8858482,615.3496783,845.0126157,,1214.313496,,1339.658445,,1297.045095,,1086.925968
Carbon Sequestration|CCS|Biomass|Energy|Supply|LiquidsFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,Mt CO2/yr,0.7174578,0.9300701,5.0945945,25.3214262,63.7995917,117.2367012,173.5547664,256.9739609,,430.1571556,,600.7335431,,680.6279053,,645.2955069
Carbon Sequestration|CCS|Biomass|Energy|Supply|LiquidsLow demand,REMIND-MAgPIE 3.3-4.8,Low demand,World,Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,Mt CO2/yr,4.1409708,31.0831626,116.4519491,267.5407172,477.2999325,733.7006047,1027.798995,1466.505362,,1952.090519,,2281.647528,,2471.501967,,2457.69447
Carbon Sequestration|CCS|Biomass|Energy|Supply|LiquidsNationally Determined Contributions (NDCs),REMIND-MAgPIE 3.3-4.8,Nationally Determined Contributions (NDCs),World,Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,Mt CO2/yr,3.4915095,23.4555127,68.6179377,131.9107307,200.7457808,271.2945537,345.8516885,451.0041553,,591.983277,,683.8280349,,780.7409717,,847.7878451
Carbon Sequestration|CCS|Biomass|Energy|Supply|LiquidsNet Zero 2050,REMIND-MAgPIE 3.3-4.8,Net Zero 2050,World,Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,Mt CO2/yr,4.6178053,44.1781776,187.0182112,419.5093017,682.9323291,942.5936323,1168.420006,1465.254213,,1840.170676,,2001.743122,,1967.535115,,1790.816696
Carbon Sequestration|CCS|FossilBelow 2°C,REMIND-MAgPIE 3.3-4.8,Below 2°C,World,Carbon Sequestration|CCS|Fossil,Mt CO2/yr,22.3730439,45.9498269,92.3414453,192.2442722,356.3169782,513.3382314,678.8250483,862.7067466,,878.9063612,,854.7625075,,788.7198701,,678.2535086
Carbon Sequestration|CCS|FossilCurrent Policies,REMIND-MAgPIE 3.3-4.8,Current Policies,World,Carbon Sequestration|CCS|Fossil,Mt CO2/yr,29.5476479,28.5228785,23.281724,21.7609525,20.8385253,19.5569038,17.3365753,13.1454809,,2.8179276,,0.0016857,,0.0005247,,0.0002987
Carbon Sequestration|CCS|FossilDelayed transition,REMIND-MAgPIE 3.3-4.8,Delayed transition,World,Carbon Sequestration|CCS|Fossil,Mt CO2/yr,29.5476479,28.5228785,25.36911,116.459099,275.558184,453.6694811,608.6832494,704.5461064,,639.9209621,,563.0808557,,444.4302948,,265.7102846
Carbon Sequestration|CCS|FossilFragmented World,REMIND-MAgPIE 3.3-4.8,Fragmented World,World,Carbon Sequestration|CCS|Fossil,Mt CO2/yr,29.5476479,28.5228785,24.4819986,45.590192,92.2230911,159.3112336,242.5759702,343.8510376,,399.1717735,,384.3099324,,367.8844879,,316.1759674
